id,title,picture,title_en,title_ja,start_date,end_date,synopsis,mean_score,rank,popularity,nsfw,media_type,status,genres,num_episodes,source,average_episode_duration_seconds,rating,studios,num_list_users,num_scoring_users,watching,completed,on_hold,dropped,plan_to_watch
1,Cowboy Bebop,https://cdn.myanimelist.net/images/anime/4/19644.webp,Cowboy Bebop,カウボーイビバップ,1998-04-03,1999-04-24,"Crime is timeless. By the year 2071, humanity has expanded across the galaxy, filling the surface of other planets with settlements like those on Earth. These new societies are plagued by murder, drug use, and theft, and intergalactic outlaws are hunted by a growing number of tough bounty hunters.  Spike Spiegel and Jet Black pursue criminals throughout space to make a humble living. Beneath his goofy and aloof demeanor, Spike is haunted by the weight of his violent past. Meanwhile, Jet manages his own troubled memories while taking care of Spike and the Bebop, their ship. The duo is joined by the beautiful con artist Faye Valentine, odd child Edward Wong Hau Pepelu Tivrusky IV, and Ein, a bioengineered Welsh corgi.  While developing bonds and working to catch a colorful cast of criminals, the Bebop crew's lives are disrupted by a menace from Spike's past. As a rival's maniacal plot continues to unravel, Spike must choose between life with his newfound family or revenge for his old wounds.  [Written by MAL Rewrite]",8.75,48,42,False,tv,finished_airing,"Action,Adult Cast,Award Winning,Sci-Fi,Space",26,original,1440,r,Sunrise,2010491,1038039,186109,1166803,114106,47862,495470
5,Cowboy Bebop: Tengoku no Tobira,https://cdn.myanimelist.net/images/anime/1439/93480.webp,Cowboy Bebop: The Movie,カウボーイビバップ 天国の扉,2001-09-01,2001-09-01,"Another day, another bounty—such is the life of the often unlucky crew of the Bebop. However, this routine is interrupted when Faye, who is chasing a fairly worthless target on Mars, witnesses an oil tanker suddenly explode, causing mass hysteria. As casualties mount due to a strange disease spreading through the smoke from the blast, a whopping three hundred million woolong price is placed on the head of the supposed perpetrator.  With lives at stake and a solution to their money problems in sight, the Bebop crew springs into action. Spike, Jet, Faye, and Edward, followed closely by Ein, split up to pursue different leads across Alba City. Through their individual investigations, they discover a cover-up scheme involving a pharmaceutical company, revealing a plot that reaches much further than the ragtag team of bounty hunters could have realized.  [Written by MAL Rewrite]",8.38,233,649,False,movie,finished_airing,"Action,Adult Cast,Sci-Fi,Space",1,original,6911,r,Bones,403958,228258,8111,297963,3282,1352,93221
6,Trigun,https://cdn.myanimelist.net/images/anime/1130/120002.webp,Trigun,トライガン,1998-04-01,1998-09-30,"Vash the Stampede is the man with a $$60,000,000,000 bounty on his head. The reason: he's a merciless villain who lays waste to all those that oppose him and flattens entire cities for fun, garnering him the title ""The Humanoid Typhoon."" He leaves a trail of death and destruction wherever he goes, and anyone can count themselves dead if they so much as make eye contact—or so the rumors say. In actuality, Vash is a huge softie who claims to have never taken a life and avoids violence at all costs.  With his crazy doughnut obsession and buffoonish attitude in tow, Vash traverses the wasteland of the planet Gunsmoke, all the while followed by two insurance agents, Meryl Stryfe and Milly Thompson, who attempt to minimize his impact on the public. But soon, their misadventures evolve into life-or-death situations as a group of legendary assassins are summoned to bring about suffering to the trio. Vash's agonizing past will be unraveled and his morality and principles pushed to the breaking point.  [Written by MAL Rewrite]",8.22,386,265,False,tv,finished_airing,"Action,Adult Cast,Adventure,Sci-Fi,Shounen",26,manga,1480,pg_13,Madhouse,816092,394224,50246,475374,35558,20243,234593
7,Witch Hunter Robin,https://cdn.myanimelist.net/images/anime/10/19969.webp,Witch Hunter Robin,Witch Hunter ROBIN (ウイッチハンターロビン),2002-07-03,2002-12-25,"Though hidden away from the general public, Witches—those with supernatural powers—have always existed in human societies. Neither numerous nor inherently evil, Witches are nonetheless capable of creating disorder by misusing their powers for criminal means. The task of solving supernatural crimes falls outside of the jurisdiction of normal authorities and is instead handled by the Solomon organization.  Having finished her training in Italy, Robin Sena transfers to Solomon's local Japanese branch, STNJ. Possessing powerful pyrokinetic abilities, she is herself a Witch, putting her at odds with STNJ's methods of dealing with rogue Witches. In particular, Robin opposes the use of an elixir called Orbo, which can weaken or even neutralize a Witch's powers. If Robin wants to find her place within the organization, she must find a way to navigate the internal politics of Solomon while also handling the threat of hostile Witches—but both seem to be dangerous for very different reasons.  [Written by MAL Rewrite]",7.23,3345,1980,False,tv,finished_airing,"Action,Detective,Drama,Mystery,Supernatural",26,original,1500,pg_13,Sunrise,126039,45828,6598,54956,6268,6529,51662
8,Bouken Ou Beet,https://cdn.myanimelist.net/images/anime/7/21569.webp,Beet the Vandel Buster,冒険王ビィト,2004-09-30,2005-09-29,"It is the dark century and the people are suffering under the rule of the devil, Vandel, who is able to manipulate monsters. The Vandel Busters are a group of people who hunt these devils, and among them, the Zenon Squad is known to be the strongest busters on the continent. A young boy, Beet, dreams of joining the Zenon Squad. However, one day, as a result of Beet's fault, the Zenon squad was defeated by the devil, Beltose. The five dying busters sacrificed their life power into their five weapons, Saiga. After giving their weapons to Beet, they passed away. Years have passed since then and the young Vandel Buster, Beet, begins his adventure to carry out the Zenon Squad's will to put an end to the dark century. ",6.92,4888,5769,False,tv,finished_airing,"Action,Adventure,Fantasy,Shounen",52,manga,1380,pg,Toei Animation,16468,6987,939,8778,879,1287,4581
15,Eyeshield 21,https://cdn.myanimelist.net/images/anime/1079/133529.jpg,,アイシールド21,2005-04-06,2008-03-19,"Shy, reserved, and small-statured, Deimon High School student Sena Kobayakawa is the perfect target for bullies. However, as a result of running errands throughout his life, Sena has become agile and developed a skill for avoiding crowds of people. After the cunning Youichi Hiruma—captain of the Deimon Devil Bats football team—witnesses Sena's rapid legs in motion, he coerces the timid boy into joining his squad.  As Hiruma wants to conceal Sena's identity from other clubs, Sena is forced to hide under the visored helmet of ""Eyeshield 21,"" a mysterious running back wearing the number 21 jersey. The legendary Eyeshield 21 can supposedly run at the speed of light and has achieved remarkable feats in the United States during his time at the Notre Dame College.  Accustomed to avoiding his problems in the past, Sena's specialty might just help him become the new secret weapon of the Deimon Devil Bats. As he interacts with his teammates, Sena gradually gains more self-confidence and forges valuable bonds along the way.  [Written by MAL Rewrite]",7.91,844,1391,False,tv,finished_airing,"Shounen,Sports,Team Sports",145,manga,1380,pg_13,Gallop,193701,92640,18333,101828,16979,14469,42058
16,Hachimitsu to Clover,https://cdn.myanimelist.net/images/anime/1301/133577.jpg,Honey and Clover,ハチミツとクローバー,2005-04-15,2005-09-27,"Yuuta Takemoto, a sophomore at an arts college, shares a cheap apartment with two seniors—the eccentric Shinobu Morita, who keeps failing to graduate due to his absenteeism, and the sensible Takumi Mayama, who acts as a proper senior to Takemoto, often looking out for him.  Takemoto had not given much thought to his future until one fine spring day, when he meets the endearing Hagumi Hanamoto and falls in love at first sight. Incredibly gifted in the arts, Hagumi enrolls in Takemoto's university and soon befriends the popular pottery student Ayumi Yamada. Ayumi is already well acquainted with the three flatmates and secretly harbors deep feelings for one of them.  Hachimitsu to Clover is a heartwarming tale of youth, love, soul-searching, and self-discovery, intricately woven through the complex relationships between five dear friends.  [Written by MAL Rewrite]",7.98,730,960,False,tv,finished_airing,"Adult Cast,Comedy,Drama,Josei,Love Polygon,Romance,Visual Arts",24,manga,1419,pg_13,J.C.Staff,281874,86310,16411,98992,14590,14486,137358
17,Hungry Heart: Wild Striker,https://cdn.myanimelist.net/images/anime/12/49655.jpg,,ハングリーハート Wild Striker,2002-09-11,2003-09-10,"As the younger brother of Japanese soccer star Seisuke Kanou, Kyousuke was always expected to grow as a soccer player at the same pace his brother did—an expectation that proved too difficult to meet. Having fallen behind, he now lives in the shadow of his brother's success.  Entering his freshman year at Jouyou Akanegaoka High School, Kyousuke vows never to play soccer again. However, Miki Tsujiwaki, the captain of the girls' soccer team, and Mori Kazuto, the manager of the boys' team, recognize Kyousuke's potential and want to see his return to the game for their own reasons.  With an opportunity to play soccer again, Kyousuke must either remain steadfast in his decision to abandon the sport he once loved, or allow himself to reignite that flame to become the best striker in the world.  [Written by MAL Rewrite]",7.54,1904,4774,False,tv,finished_airing,"Shounen,Sports,Team Sports",52,manga,1400,pg_13,Nippon Animation,26495,14044,1258,17196,1044,1486,5506
18,Initial D Fourth Stage,https://cdn.myanimelist.net/images/anime/9/10521.webp,,頭文字〈イニシャル〉D FOURTH STAGE,2004-04-17,2006-02-18,"Takumi Fujiwara finally joins Ryousuke and Keisuke Takahashi to create ""Project D."" Their goal is twofold: Ryousuke wants to develop his ""High-Speed Street Racing Theory,"" while Keisuke and Takumi aim at improving their driving skills by facing powerful opponents on dangerous roads. The idea of Project D is to challenge street racing teams from other prefectures to improve both their uphill and downhill records. In order to attract the attention of the best racing teams, Ryousuke creates a dedicated website to announce the future battles of Project D and post the team's results.  The fourth season of Initial D details the hardships and successes of the members of Project D as they try to become the best street racing team outside of Gunma Prefecture.  [Written by MAL Rewrite]",8.17,456,1291,False,tv,finished_airing,"Action,Drama,Racing,Seinen",24,manga,1620,pg_13,A.C.G.T.,209134,116263,12309,158188,5512,2378,30734
19,Monster,https://cdn.myanimelist.net/images/anime/10/18793.webp,Monster,モンスター,2004-04-07,2005-09-28,"Dr. Kenzou Tenma, an elite neurosurgeon recently engaged to his hospital director's daughter, is well on his way to ascending the hospital hierarchy. That is until one night, a seemingly small event changes Dr. Tenma's life forever. While preparing to perform surgery on someone, he gets a call from the hospital director telling him to switch patients and instead perform life-saving brain surgery on a famous performer. His fellow doctors, fiancée, and the hospital director applaud his accomplishment; but because of the switch, a poor immigrant worker is dead, causing Dr. Tenma to have a crisis of conscience.  So when a similar situation arises, Dr. Tenma stands his ground and chooses to perform surgery on the young boy Johan Liebert instead of the town's mayor. Unfortunately, this choice leads to serious ramifications for Dr. Tenma—losing his social standing being one of them. However, with the mysterious death of the director and two other doctors, Dr. Tenma's position is restored. With no evidence to convict him, he is released and goes on to attain the position of hospital director.   Nine years later when Dr. Tenma saves the life of a criminal, his past comes back to haunt him—once again, he comes face to face with the monster he operated on. He must now embark on a quest of pursuit to make amends for the havoc spread by the one he saved.  [Written by MAL Rewrite]",8.89,25,120,False,tv,finished_airing,"Adult Cast,Drama,Mystery,Psychological,Seinen,Suspense",74,manga,1440,r+,Madhouse,1277041,488304,172942,483740,91713,42391,486099
